Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
tpm_afk,AFK WARNING,AFK WARNING,AFK UPOZORNĚNÍ,AFK-WARNUNG,ПРЕДУПРЕЖДЕНИЕ ОБ AFK,OSTRZEŻENIE O AFK,AFK FIGYELMEZTETÉS,AVVISO AFK,ADVERTENCIA AFK,AVERTISSEMENT AFK,AFK警告,AFK警告,AVISO DE AFK,AFK警告,
tpm_afk_text,You're about to get kicked! Move way from your position now!,You're about to get kicked! Move way from your position now!,Chystáte se dostat kopačky! Okamžitě se posuňte ze své pozice!,Du wirst gleich getreten! Bewegen Sie sich jetzt von Ihrer Position weg!,Вас вот-вот кикнут! Смените свою позицию!,Zaraz zostaniesz wyrzucony! Odsuń się od swojej pozycji już teraz!,Rúgni készülsz! Távolodjon el a pozíciójától most!,Stai per essere preso a calci! Allontanati dalla tua posizione, ora!,¡Estás a punto de ser pateado! ¡Muévete para no ser expulsado!,Vous êtes sur le point de vous faire éjecter ! Bougez maintenant !,你要被踢了！ 現在從你的位置移開！,蹴られるぞ！今すぐそこを離れろ!,Você está prestes a ser chutado! Saia da sua posição agora!,你要被踢了！ 现在从你的位置移开,
tpm_pristine,pristine,pristine,Nepoškozený,makellos,Нетронуто,dziewiczy,ősi,incontaminato,buen estado,Intact,原始的,新品同様,imaculado,原始的,
tpm_worn,worn,worn,Opotřebený,getragen,Поношено,używany,kopott,logoro,gastado,Usé,磨損,ボロボロになっている,desgastado,磨损,
tpm_damaged,damaged,damaged,Silně Opotřebený,beschädigt,Повреждено,uszkodzony,sérült,danneggiato,dañado,Abîmé,損壞的,損傷している,estragado,损坏的,
tpm_badly_dmg,badly damaged,badly damaged,Skoro Zničený,schwer beschädigt,Сильно повреждено,poważnie uszkodzony,súlyosan megsérült,danneggiato gravemente,muy dañado,Très abîmé,嚴重受損,かなり損傷している,gravemente danificado,严重受损,
tpm_ruined,ruined,ruined,Zničený,ruiniert,Уничтожено,zrujnowany,romos,rovinato,destruido,Détruit,毀了,壊れている,arruinado,毁了,
tpm_trade,Trade,Trade,Obchodovat,Handel,Торговля,Handel,Kereskedelmi,Commercio,Comercio,Trade,貿易,トレード,Troca,贸易,
tpm_pack_vehicle,Pack Vehicle,Pack Vehicle,Sbalit vozidlo,Fahrzeug packen,Запаковать автомобиль,Spakuj pojazd,Csomagolja a járművet,Pacchetto veicolo,Desplegar vehículo,Emballer le véhicule,包車,乗り物を格納する,Pacote de veículos,包车,
tpm_deploy_vehicle,Deploy Vehicle,Deploy Vehicle,Spawnutí vozidla,Fahrzeug bereitstellen,Распаковать автомобиль,Rozmieść pojazd,Telepítse a járművet,Distribuisci veicolo,Empaquetar vehículo,Déployer le véhicule,部署車輛,乗り物をデプロイ,Implantar Veículo,部署车辆,
tpm_cant_be_sold,Sorry ! It can't be sold !,Sorry ! it can't be sold !,"Litujeme, toto nejde prodat!",Es kann leider nicht verkauft werden!,Данный товар не может быть продан.,Niestety nie mozna go sprzedac!,Sajnos nem lehet eladni!,Purtroppo non è vendibile!,¡Desafortunadamente ! ¡no se puede vender!,L'ARTICLE NE PEUT ÊTRE VENDU !,對不起，不能賣！,ごめんなさい、売れません！,Infelizmente ! não pode ser vendido!,对不起，不能卖!,
tpm_cant_be_bought,SORRY ! YOU CAN'T BUY THIS ITEM,SORRY ! YOU CAN'T BUY THIS ITEM,"Litujeme, ale tuto položku nejde zakoupit!",ES TUT UNS LEID ! SIE KÖNNEN DIESEN ARTIKEL NICHT KAUFEN,Вы не можете купить данный товар.,NIE MOŻESZ KUPIĆ TEGO PRZEDMIOTU,SAJNÁLOM ! NEM VÁLHATJA EZT A TÉTELET,SCUSA ! NON PUOI ACQUISTARE QUESTO ARTICOLO,¡LO SIENTO! NO PUEDES COMPRAR ESTE ARTÍCULO,PARDON ! VOUS NE POUVEZ PAS ACHETER CET ARTICLE,對不起 ！ 你不能買這個項目,ごめんなさい ！ この商品は購入できません,DESCULPE ! VOCÊ NÃO PODE COMPRAR ESTE ARTIGO,对不起 ！ 你不能买这个项目,
tpm_already_bought,YOU ALREADY BOUGHT THIS PRODUCT!,YOU ALREADY BOUGHT THIS PRODUCT!,TENTO PRODUKT jste již koupili!,SIE HABEN DIESES PRODUKT BEREITS GEKAUFT!,Вы уже купили данный товар.,KUPIŁEŚ JUŻ TEN PRODUKT!,MÁR VETTÉK EZT A TERMÉKET!,HAI GIÀ ACQUISTATO QUESTO PRODOTTO!,¡YA COMPRÓ ESTE PRODUCTO!,VOUS AVEZ DÉJÀ ACHETÉ CE PRODUIT !,您已經購買了該產品！,あなたはすでにこの製品を購入しました！,VOCÊ JÁ COMPROU ESTE PRODUTO!,您已经购买了该产品,
tpm_tradeqty_over_itemqty,Trade quantity is over item quantity !,Trade quantity is over item quantity !,Objem obchodu presahuje množství zboží !,Die Handelsmenge übersteigt die Warenmenge !,Количество в сделке превышает количество товара.,Kwota handlu przekracza ilosc towarów !,A kereskedelem összege meghaladja az áruk mennyiségét,La quantità di scambi supera la quantità di merci !,¡La cantidad de comercio excede la cantidad de bienes!,La quantité commerciale requise est supérieur à la quantité de l'item !,交易數量超過物品數量！,取引数量がアイテム数量を超えました!,A quantidade de comércio excede a quantidade de mercadorias !,交易数量超过物品数量,
tpm_tradeqty_over_stockqty,Trade quantity is over stock capacity!,Trade quantity is over stock capacity!,Množství obchodu presahuje skladovou kapacitu!,Die Handelsmenge übersteigt die Lagerkapazitä!,Требуемое количество превышает остатки на складе.,Wielkosc handlu przekracza pojemnosc magazynu!,A kereskedelem mennyisége meghaladja a készlet kapacitását !,Il volume degli scambi supera la capacità dello stock !,El volumen de comercio supera la capacidad del stock.,La quantité commerciale est supérieur à la capacité du stock !,交易量已超過庫存容量！,取引量が在庫容量を超えています!,O volume de negociação excede a capacidade do estoque !,交易量已超过库存容量,
tpm_totalqty,TOTAL QUANTITY:,TOTAL QUANTITY:,CELKOVÉ MNOŽSTVÍ:,GESAMTMENGE:,В НАЛИЧИИ,CALKOWITA ILOSC:,TELJES MENNYISÉG:,IMPORTO TOTALE:,CANTIDAD TOTAL:,QUANTITE TOTALE:,總數（量：,合計:,MONTANTE TOTAL:,总数（量：,
tpm_not_too_fast,NOT TOO FAST !,NOT TOO FAST !,NÉ TAK RYCHLE!,NICHT ZU SCHNELL!!,Не так быстро!,NIE TAK SZYBKO!,NEM TÚL GYORS!,NON TROPPO VELOCE!,¡NO TAN RAPIDO!,PAS SI VITE !,不要太快！,速すぎる!,NÃO DEMASIADO RÁPIDO!,不要太快！,
tpm_cant_trade_item,YOU CAN NOT TRADE THAT ITEM!,YOU CAN NOT TRADE THAT ITEM!,TUTO POLOŽKU NELZE VYMĚNIT!,SIE KÖNNEN DIESEN ARTIKEL NICHT HANDELN!,Этот товар нельзя продать.,NIE MOZESZ HANDLOWAC TYM PRZEDMIOTEM!,EZT A TÉTELET NEM KERESKEDIK!,NON PUOI COMMERCIALIZZARE QUESTO ARTICOLO!,¡NO PUEDE COMERCIAR ESTE ARTÍCULO!,VOUS NE POUVEZ PAS VENDRE CET OBJET !,你不能交易那個項目！,あなたはそのアイテムを取引することはできません,VOCÊ NÃO PODE COMERCIALIZAR ESTE ARTIGO!,你不能交易那个项目！,
